Randomization Ratio,Equivalence Margin,Power_-0.6,Power_-0.55,Power_-0.5,Power_-0.45,Power_-0.4,Power_-0.35,Power_-0.3,Power_-0.25,Power_-0.2,Power_-0.15,Power_-0.1,Power_-0.05,Power_0.0,Power_0.05,Power_0.1,Power_0.15,Power_0.2,Power_0.25,Power_0.3,Power_0.35,Power_0.4,Power_0.45,Power_0.5,Power_0.55,Power_0.6,TypeIError_-0.6,TypeIError_-0.55,TypeIError_-0.5,TypeIError_-0.45,TypeIError_-0.4,TypeIError_-0.35,TypeIError_-0.3,TypeIError_-0.25,TypeIError_-0.2,TypeIError_-0.15,TypeIError_-0.1,TypeIError_-0.05,TypeIError_0.0,TypeIError_0.05,TypeIError_0.1,TypeIError_0.15,TypeIError_0.2,TypeIError_0.25,TypeIError_0.3,TypeIError_0.35,TypeIError_0.4,TypeIError_0.45,TypeIError_0.5,TypeIError_0.55,TypeIError_0.6,Split proportion of type I error rate
0.6,0.2917,0.8013,0.8013,0.8013,0.8013,0.8013,0.8013,0.8016,0.8025,0.805,0.8098,0.816,0.8195,0.8147,0.7999,0.7816,0.77,0.7703,0.7791,0.7892,0.7962,0.7996,0.8008,0.8012,0.8012,0.8013,0.0584,0.0585,0.0588,0.0597,0.0616,0.0647,0.0679,0.0692,0.0671,0.0623,0.0573,0.0539,0.0528,0.0539,0.0573,0.0623,0.0671,0.0692,0.0679,0.0647,0.0616,0.0597,0.0588,0.0585,0.0584,
0.625,0.176,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.7702,0.7705,0.7712,0.772,0.7728,0.773,0.7725,0.7717,0.7709,0.7704,0.7701,0.77,0.77,0.77,0.77,0.77,0.0493,0.0493,0.0493,0.0493,0.0493,0.0494,0.0497,0.05,0.0503,0.0505,0.0503,0.0501,0.05,0.0501,0.0503,0.0505,0.0503,0.05,0.0497,0.0494,0.0493,0.0493,0.0493,0.0493,0.0493,
0.625,0.144,0.7719,0.7719,0.7719,0.7719,0.7719,0.7719,0.7719,0.7719,0.7719,0.7719,0.7719,0.7719,0.7719,0.7719,0.7719,0.7719,0.7719,0.7719,0.7719,0.7719,0.7719,0.7719,0.7719,0.7719,0.7719,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.5293
0.605,0.2893,0.7802,0.7802,0.7802,0.7802,0.7803,0.7803,0.7807,0.7821,0.7859,0.7938,0.8058,0.8178,0.8222,0.8141,0.7966,0.7795,0.7704,0.77,0.7737,0.7772,0.7792,0.78,0.7802,0.7802,0.7802,0.05,0.0501,0.0506,0.0519,0.0549,0.0598,0.0656,0.0695,0.0688,0.0637,0.057,0.0518,0.05,0.0518,0.057,0.0637,0.0688,0.0695,0.0656,0.0598,0.0549,0.0519,0.0506,0.0501,0.05,
