Method,Randomization Ratio,Equivalence Margin,Cost,Power_-0.6,TypeIError_-0.6,Power_-0.55,TypeIError_-0.55,Power_-0.5,TypeIError_-0.5,Power_-0.45,TypeIError_-0.45,Power_-0.4,TypeIError_-0.4,Power_-0.35,TypeIError_-0.35,Power_-0.3,TypeIError_-0.3,Power_-0.25,TypeIError_-0.25,Power_-0.2,TypeIError_-0.2,Power_-0.15,TypeIError_-0.15,Power_-0.1,TypeIError_-0.1,Power_-0.05,TypeIError_-0.05,Power_0.0,TypeIError_0.0,Power_0.05,TypeIError_0.05,Power_0.1,TypeIError_0.1,Power_0.15,TypeIError_0.15,Power_0.2,TypeIError_0.2,Power_0.25,TypeIError_0.25,Power_0.3,TypeIError_0.3,Power_0.35,TypeIError_0.35,Power_0.4,TypeIError_0.4,Power_0.45,TypeIError_0.45,Power_0.5,TypeIError_0.5,Power_0.55,TypeIError_0.55,Power_0.6,TypeIError_0.6
Minimize,0.2921379364828985,0.1136862617977706,528.9945150116271,0.7199015331671657,0.04999999999999988,0.7199015331671657,0.04999999999999988,0.7199015331671657,0.04999999999999988,0.7199015331671657,0.04999999999999988,0.7199015331671657,0.04999999999999988,0.7199015331671657,0.04999999999999988,0.7199015331671657,0.04999999999999988,0.7199015331671657,0.04999999999999988,0.7199015331671657,0.04999999999999988,0.7199015331671657,0.04999999999999988,0.7199015331671657,0.04999999999999988,0.7199015331671657,0.04999999999999988,0.7199015331671657,0.04999999999999988,0.7199015331671657,0.04999999999999988,0.7199015331671657,0.04999999999999988,0.7199015331671657,0.04999999999999988,0.7199015331671657,0.04999999999999988,0.7199015331671657,0.04999999999999988,0.7199015331671657,0.04999999999999988,0.7199015331671657,0.04999999999999988,0.7199015331671657,0.04999999999999988,0.7199015331671657,0.04999999999999988,0.7199015331671657,0.04999999999999988,0.7199015331671657,0.04999999999999988,0.7199015331671657,0.04999999999999988
SHGO,0.5,0.1,19.999999194144813,0.8000000080585519,0.04999999999999988,0.8000000080585519,0.04999999999999988,0.8000000080585519,0.04999999999999988,0.8000000080585519,0.04999999999999988,0.8000000080585519,0.04999999999999988,0.8000000080585519,0.04999999999999988,0.8000000080585519,0.04999999999999988,0.8000000080585519,0.04999999999999988,0.8000000080585519,0.04999999999999988,0.8000000080585519,0.04999999999999988,0.8000000080585519,0.04999999999999988,0.8000000080585519,0.04999999999999988,0.8000000080585519,0.04999999999999988,0.8000000080585519,0.04999999999999988,0.8000000080585519,0.04999999999999988,0.8000000080585519,0.04999999999999988,0.8000000080585519,0.04999999999999988,0.8000000080585519,0.04999999999999988,0.8000000080585519,0.04999999999999988,0.8000000080585519,0.04999999999999988,0.8000000080585519,0.04999999999999988,0.8000000080585519,0.04999999999999988,0.8000000080585519,0.04999999999999988,0.8000000080585519,0.04999999999999988,0.8000000080585519,0.04999999999999988
Dual Annealing,0.49450791427401886,0.22604970209427833,18.59114377572897,0.7700031044955562,0.039153104807527817,0.7700031074082985,0.03916065288564853,0.7700031493955882,0.03920279510750819,0.7700036229962232,0.03938553469153629,0.770007801113763,0.03999782725867363,0.7700366042048028,0.04156933799635926,0.7701915266766899,0.044610182867885644,0.7708399381226454,0.04890327569139919,0.7729420115959503,0.05297397346469403,0.7781771558808473,0.05481498001877744,0.788036799252965,0.053713808267016536,0.8016127034243293,0.05124183202147611,0.8140885622427103,0.04999999999999943,0.8189910529958374,0.05124183202147625,0.8134190664519662,0.053713808267016605,0.8007114092882371,0.05481498001877751,0.78734088198905,0.052973973464693916,0.7778150531537152,0.04890327569139902,0.7728107942368453,0.044610182867885574,0.7708080748146663,0.0415693379963593,0.770187796987866,0.03999782725867351,0.7700375577312516,0.03938553469153648,0.7700086391827377,0.03920279510750807,0.7700039922545749,0.03916065288564851,0.7700032726542783,0.03915310480752786
