,Randomization Ratio,Equivalence Margin,Cost,Power_-0.6,Power_-0.55,Power_-0.5,Power_-0.45,Power_-0.4,Power_-0.35,Power_-0.3,Power_-0.25,Power_-0.2,Power_-0.15,Power_-0.1,Power_-0.05,Power_0.0,Power_0.05,Power_0.1,Power_0.15,Power_0.2,Power_0.25,Power_0.3,Power_0.35,Power_0.4,Power_0.45,Power_0.5,Power_0.55,Power_0.6,TypeIError_-0.6,TypeIError_-0.55,TypeIError_-0.5,TypeIError_-0.45,TypeIError_-0.4,TypeIError_-0.35,TypeIError_-0.3,TypeIError_-0.25,TypeIError_-0.2,TypeIError_-0.15,TypeIError_-0.1,TypeIError_-0.05,TypeIError_0.0,TypeIError_0.05,TypeIError_0.1,TypeIError_0.15,TypeIError_0.2,TypeIError_0.25,TypeIError_0.3,TypeIError_0.35,TypeIError_0.4,TypeIError_0.45,TypeIError_0.5,TypeIError_0.55,TypeIError_0.6
minimize,0.29218485779272463,0.11344330243005905,499.9945150116237,0.719901533167166,0.719901533167166,0.719901533167166,0.719901533167166,0.719901533167166,0.719901533167166,0.719901533167166,0.719901533167166,0.719901533167166,0.719901533167166,0.719901533167166,0.719901533167166,0.719901533167166,0.719901533167166,0.719901533167166,0.719901533167166,0.719901533167166,0.719901533167166,0.719901533167166,0.719901533167166,0.719901533167166,0.719901533167166,0.719901533167166,0.719901533167166,0.719901533167166,0.05000000000000002,0.05000000000000002,0.05000000000000002,0.05000000000000002,0.05000000000000002,0.05000000000000002,0.05000000000000002,0.05000000000000002,0.05000000000000002,0.05000000000000002,0.05000000000000002,0.05000000000000002,0.05000000000000002,0.05000000000000002,0.05000000000000002,0.05000000000000002,0.05000000000000002,0.05000000000000002,0.05000000000000002,0.05000000000000002,0.05000000000000002,0.05000000000000002,0.05000000000000002,0.05000000000000002,0.05000000000000002
shgo,0.5,0.28676535892372856,-33.878063137660575,0.8000000112606558,0.8000000544915926,0.8000005376150978,0.8000047629877329,0.8000336605282614,0.8001879613106788,0.8008293632675294,0.8028937803645807,0.8079847104120178,0.8173931259601388,0.8297404355439313,0.839337770213429,0.8387806313766057,0.8254526681048522,0.8054165163208776,0.7891852705832788,0.7831672176739761,0.7858744642483898,0.7916791106539373,0.7963286434979236,0.7987585152223237,0.7996763611838286,0.7999357490135705,0.7999909094982302,0.799999399546789,0.05001291980607986,0.05007437478966442,0.050337646251948344,0.05120966317615777,0.05342175717264962,0.05764205510560476,0.06345898170881802,0.06861570245198634,0.06999999919015872,0.0662104443897477,0.059110269957840925,0.05258774095229199,0.04999999999999989,0.05258774095229214,0.05911026995784106,0.06621044438974785,0.06999999919015878,0.06861570245198623,0.06345898170881784,0.05764205510560455,0.05342175717264957,0.05120966317615762,0.05033764625194816,0.05007437478966455,0.05001291980607984
dual_annealing,0.6108261780637384,0.2921546824848331,-43.220844245799185,0.7802338598465482,0.7802338757706719,0.7802340713395608,0.7802359535392093,0.7802501410735148,0.7803337950910914,0.780718706945754,0.7820945434101796,0.7858822567056787,0.7937776419962221,0.8057768040714111,0.8177507915697868,0.8222084424579919,0.8141051530488485,0.7966286449929879,0.7794514772600486,0.7704163965399161,0.7700071436585232,0.7736671787996169,0.7772062361321784,0.7791857665950359,0.779959104237725,0.7801817751179146,0.7802290579655881,0.7802353905589581,0.050027716269555635,0.05014363233259645,0.05058813038678286,0.05190331419280682,0.054867355503032296,0.05982699715193824,0.0656269294051057,0.06947202395901128,0.06879956669023134,0.06369229963478729,0.056972185249184,0.05183985567878947,0.04999999999999563,0.051839855678789515,0.0569721852491841,0.06369229963478748,0.06879956669023153,0.06947202395901116,0.06562692940510556,0.059826997151937955,0.054867355503032164,0.05190331419280674,0.050588130386782816,0.0501436323325965,0.05002771626955563
