Method,Randomization Ratio,Equivalence Margin,Cost,Power_-0.6,TypeIError_-0.6,Power_-0.55,TypeIError_-0.55,Power_-0.5,TypeIError_-0.5,Power_-0.45,TypeIError_-0.45,Power_-0.4,TypeIError_-0.4,Power_-0.35,TypeIError_-0.35,Power_-0.3,TypeIError_-0.3,Power_-0.25,TypeIError_-0.25,Power_-0.2,TypeIError_-0.2,Power_-0.15,TypeIError_-0.15,Power_-0.1,TypeIError_-0.1,Power_-0.05,TypeIError_-0.05,Power_0.0,TypeIError_0.0,Power_0.05,TypeIError_0.05,Power_0.1,TypeIError_0.1,Power_0.15,TypeIError_0.15,Power_0.2,TypeIError_0.2,Power_0.25,TypeIError_0.25,Power_0.3,TypeIError_0.3,Power_0.35,TypeIError_0.35,Power_0.4,TypeIError_0.4,Power_0.45,TypeIError_0.45,Power_0.5,TypeIError_0.5,Power_0.55,TypeIError_0.55,Power_0.6,TypeIError_0.6
Minimize,0.3327711532664943,0.11951010147334543,192.39908041412002,0.7532278138203842,0.05000000000000002,0.7532278138203842,0.05000000000000002,0.7532278138203842,0.05000000000000002,0.7532278138203842,0.05000000000000002,0.7532278138203842,0.05000000000000002,0.7532278138203842,0.05000000000000002,0.7532278138203842,0.05000000000000002,0.7532278138203842,0.05000000000000002,0.7532278138203842,0.05000000000000002,0.7532278138203842,0.05000000000000002,0.7532278138203842,0.05000000000000002,0.7532278138203842,0.05000000000000002,0.7532278138203842,0.05000000000000002,0.7532278138203842,0.05000000000000002,0.7532278138203842,0.05000000000000002,0.7532278138203842,0.05000000000000002,0.7532278138203842,0.05000000000000002,0.7532278138203842,0.05000000000000002,0.7532278138203842,0.05000000000000002,0.7532278138203842,0.05000000000000002,0.7532278138203842,0.05000000000000002,0.7532278138203842,0.05000000000000002,0.7532278138203842,0.05000000000000002,0.7532278138203842,0.05000000000000002,0.7532278138203842,0.05000000000000002
SHGO,0.5,0.2824277644457177,16.89066857007344,0.819040062154829,0.05878310233961179,0.8190400858078407,0.0588232537489287,0.8190403591806693,0.05899693310138015,0.8190428254497778,0.05957437694483174,0.8190601653974848,0.06103210844037416,0.8191549150262886,0.06375906153565399,0.8195553311363627,0.06732662792690347,0.8208523488527488,0.06999999607510932,0.8240156768510385,0.06958783552495015,0.829596965560061,0.06537699554151616,0.8359454519208305,0.05910547237488789,0.8382208731385038,0.053773543632189294,0.8310933142992656,0.051727113822608764,0.8144598271508813,0.05377354363218937,0.7959502696777218,0.05910547237488792,0.7855728633976267,0.0653769955415164,0.7873123400004339,0.0695878355249504,0.7969047271914368,0.0699999960751094,0.8072317455800019,0.06732662792690344,0.8141485128832604,0.06375906153565387,0.8174567929099494,0.06103210844037415,0.8186394160828385,0.0595743769448318,0.8189614108074244,0.058996933101380045,0.8190284822843863,0.05882325374892854,0.8190389696865497,0.058783102339611634
Dual Annealing,0.4997776255166736,0.2824198446423819,16.890710816666243,0.8190372043977822,0.058781647455992334,0.819037228041918,0.058821786174224754,0.8190375013208443,0.05899541535517655,0.8190399668195742,0.059572707669921225,0.8190573018773025,0.06103009413945254,0.8191520275718954,0.06375647065612838,0.8195523538234569,0.06732337626342245,0.8208491150439148,0.06999634914481377,0.8240118957180034,0.0695843914818216,0.8295923446987513,0.06537438238392052,0.8359400122856699,0.059103989758522366,0.8382152527360414,0.05377300596593215,0.8310887113799351,0.05172694061859899,0.8144574550029825,0.053773005965932354,0.7959505885190248,0.059103989758522366,0.785575125700377,0.06537438238392068,0.787314933213459,0.06958439148182155,0.7969061727309087,0.06999634914481384,0.8072314891026005,0.06732337626342237,0.8141468724399391,0.06375647065612833,0.8174543778506193,0.06103009413945253,0.8186366834263492,0.059572707669921156,0.8189585803476682,0.05899541535517648,0.819025629006835,0.058821786174224684,0.8190361124222372,0.05878164745599222
