,Randomization Ratio,Equivalence Margin,Cost,Power_-0.6,Power_-0.55,Power_-0.5,Power_-0.45,Power_-0.4,Power_-0.35,Power_-0.3,Power_-0.25,Power_-0.2,Power_-0.15,Power_-0.1,Power_-0.05,Power_0.0,Power_0.05,Power_0.1,Power_0.15,Power_0.2,Power_0.25,Power_0.3,Power_0.35,Power_0.4,Power_0.45,Power_0.5,Power_0.55,Power_0.6,TypeIError_-0.6,TypeIError_-0.55,TypeIError_-0.5,TypeIError_-0.45,TypeIError_-0.4,TypeIError_-0.35,TypeIError_-0.3,TypeIError_-0.25,TypeIError_-0.2,TypeIError_-0.15,TypeIError_-0.1,TypeIError_-0.05,TypeIError_0.0,TypeIError_0.05,TypeIError_0.1,TypeIError_0.15,TypeIError_0.2,TypeIError_0.25,TypeIError_0.3,TypeIError_0.35,TypeIError_0.4,TypeIError_0.45,TypeIError_0.5,TypeIError_0.55,TypeIError_0.6
minimize,0.3325097173078563,0.11951980688195332,158.89908041412002,0.7532278138203842,0.7532278138203842,0.7532278138203842,0.7532278138203842,0.7532278138203842,0.7532278138203842,0.7532278138203842,0.7532278138203842,0.7532278138203842,0.7532278138203842,0.7532278138203842,0.7532278138203842,0.7532278138203842,0.7532278138203842,0.7532278138203842,0.7532278138203842,0.7532278138203842,0.7532278138203842,0.7532278138203842,0.7532278138203842,0.7532278138203842,0.7532278138203842,0.7532278138203842,0.7532278138203842,0.7532278138203842,0.05000000000000002,0.05000000000000002,0.05000000000000002,0.05000000000000002,0.05000000000000002,0.05000000000000002,0.05000000000000002,0.05000000000000002,0.05000000000000002,0.05000000000000002,0.05000000000000002,0.05000000000000002,0.05000000000000002,0.05000000000000002,0.05000000000000002,0.05000000000000002,0.05000000000000002,0.05000000000000002,0.05000000000000002,0.05000000000000002,0.05000000000000002,0.05000000000000002,0.05000000000000002,0.05000000000000002,0.05000000000000002
shgo,0.5,0.28242776587190194,-33.10933151281728,0.8190400626694633,0.8190400863224766,0.8190403596953221,0.8190428259645695,0.8190601659131572,0.8191549155462712,0.8195553316725283,0.8208523494351068,0.824015677531962,0.8295969663922051,0.8359454529004184,0.838220874150641,0.8310933151281727,0.8144598275780706,0.795950269620312,0.7855728629902228,0.7873123395334223,0.796904726931092,0.8072317456261641,0.814148513178661,0.8174567933448541,0.8186394165749417,0.8189614113171424,0.819028482798214,0.8190389702010952,0.05878310260161577,0.058823254013218536,0.05899693337470593,0.059574377245447487,0.061032108803127504,0.06375906200224453,0.06732662851249388,0.06999999673187994,0.06958783614517967,0.06537699601211086,0.05910547264188524,0.053773543729013024,0.05172711385379744,0.05377354372901314,0.05910547264188548,0.06537699601211104,0.06958783614517977,0.0699999967318801,0.0673266285124938,0.06375906200224457,0.061032108803127476,0.05957437724544757,0.058996933374705934,0.05882325401321851,0.05878310260161591
dual_annealing,0.6030865395731043,0.2893306786876463,-41.959896308782305,0.800794329382659,0.8007943390066528,0.8007944601950585,0.8007956522845294,0.8008047980309373,0.800859375760167,0.8011115181921051,0.8020056877646039,0.8044005908600894,0.8090805540901257,0.8151722018824189,0.8186373024094133,0.8139140452167914,0.7994523796739502,0.7815552796634451,0.770275817359893,0.7706443299889242,0.7792468357301819,0.789122646275525,0.7959097005048135,0.7992018916993234,0.8003897869400367,0.8007157226469609,0.8007839298338392,0.8007942470976118,0.05815626557233836,0.058232752270279346,0.05852578106643289,0.05938372851106996,0.0612695650079457,0.06426693984501651,0.06738141965589273,0.06863973741117449,0.06660793932689262,0.061965986475541246,0.057058952460400075,0.05383553459652009,0.05279251291066167,0.053835534596520226,0.057058952460400214,0.06196598647554141,0.06660793932689268,0.0686397374111745,0.0673814196558927,0.0642669398450165,0.06126956500794556,0.0593837285110699,0.058525781066432886,0.05823275227027925,0.05815626557233823
