Method,Randomization Ratio,Equivalence Margin,Cost,Power_-0.6,TypeIError_-0.6,Power_-0.55,TypeIError_-0.55,Power_-0.5,TypeIError_-0.5,Power_-0.45,TypeIError_-0.45,Power_-0.4,TypeIError_-0.4,Power_-0.35,TypeIError_-0.35,Power_-0.3,TypeIError_-0.3,Power_-0.25,TypeIError_-0.25,Power_-0.2,TypeIError_-0.2,Power_-0.15,TypeIError_-0.15,Power_-0.1,TypeIError_-0.1,Power_-0.05,TypeIError_-0.05,Power_0.0,TypeIError_0.0,Power_0.05,TypeIError_0.05,Power_0.1,TypeIError_0.1,Power_0.15,TypeIError_0.15,Power_0.2,TypeIError_0.2,Power_0.25,TypeIError_0.25,Power_0.3,TypeIError_0.3,Power_0.35,TypeIError_0.35,Power_0.4,TypeIError_0.4,Power_0.45,TypeIError_0.45,Power_0.5,TypeIError_0.5,Power_0.55,TypeIError_0.55,Power_0.6,TypeIError_0.6
Minimize,0.2917016504236992,0.11594686501290598,528.9945150116237,0.719901533167166,0.05000000000000002,0.719901533167166,0.05000000000000002,0.719901533167166,0.05000000000000002,0.719901533167166,0.05000000000000002,0.719901533167166,0.05000000000000002,0.719901533167166,0.05000000000000002,0.719901533167166,0.05000000000000002,0.719901533167166,0.05000000000000002,0.719901533167166,0.05000000000000002,0.719901533167166,0.05000000000000002,0.719901533167166,0.05000000000000002,0.719901533167166,0.05000000000000002,0.719901533167166,0.05000000000000002,0.719901533167166,0.05000000000000002,0.719901533167166,0.05000000000000002,0.719901533167166,0.05000000000000002,0.719901533167166,0.05000000000000002,0.719901533167166,0.05000000000000002,0.719901533167166,0.05000000000000002,0.719901533167166,0.05000000000000002,0.719901533167166,0.05000000000000002,0.719901533167166,0.05000000000000002,0.719901533167166,0.05000000000000002,0.719901533167166,0.05000000000000002,0.719901533167166,0.05000000000000002
SHGO,0.5,0.2867653598219613,16.121936805462322,0.8000000112606559,0.05001291980659357,0.8000000544915948,0.05007437479237744,0.8000005376151205,0.05033764626320138,0.8000047629879194,0.05120966321286359,0.8000336605294529,0.05342175726692263,0.800187961316646,0.05764205529654574,0.8008293632909715,0.06345898201425948,0.8028937804369509,0.06861570283795904,0.8079847105880076,0.06999999957340654,0.8173931262982234,0.06621044468188186,0.829740436058077,0.0591102701154989,0.8393377708301623,0.05258774099614434,0.8387806319453768,0.05000000000000004,0.8254526684660385,0.052587740996144466,0.8054165163883127,0.05911027011549913,0.789185270391683,0.0662104446818819,0.7831672173566723,0.06999999957340651,0.7858744639520119,0.06861570283795898,0.7916791104574836,0.06345898201425927,0.7963286434003212,0.05764205529654566,0.798758515185301,0.053421757266922595,0.7996763611730585,0.05120966321286359,0.799935749011192,0.05033764626320134,0.7999909094978519,0.050074374792377405,0.7999993995467567,0.050012919806593545
Dual Annealing,0.5011772649451577,0.2867653137748602,16.121937666289043,0.8000000112606476,0.05001291978025357,0.8000000544914826,0.05007437465330108,0.8000005376139497,0.050337645686320986,0.8000047629783614,0.05120966133116756,0.8000336604683671,0.05342175243410024,0.800187961010746,0.0576420455081295,0.8008293620892372,0.06345896635608177,0.8028937767269541,0.06861568305142135,0.8079847015660481,0.06999997992655804,0.8173931089666318,0.06621042970589236,0.829740409700864,0.059110262033305876,0.8393377392138865,0.05258773874809615,0.8387806027878394,0.04999999999999996,0.8254526499501613,0.05258773874809641,0.8054165129313277,0.05911026203330609,0.7891852802136766,0.06621042970589255,0.7831672336229762,0.06999997992655808,0.7858744791455579,0.0686156830514213,0.791679120528505,0.06345896635608177,0.7963286484038226,0.05764204550812941,0.7987585170832202,0.05342175243410018,0.7996763617251844,0.0512096613311674,0.7999357491331334,0.05033764568632089,0.7999909095172403,0.05007437465330104,0.7999993995484073,0.05001291978025367
