,Randomization Ratio,Equivalence Margin,Cost,Power_-0.6,Power_-0.55,Power_-0.5,Power_-0.45,Power_-0.4,Power_-0.35,Power_-0.3,Power_-0.25,Power_-0.2,Power_-0.15,Power_-0.1,Power_-0.05,Power_0.0,Power_0.05,Power_0.1,Power_0.15,Power_0.2,Power_0.25,Power_0.3,Power_0.35,Power_0.4,Power_0.45,Power_0.5,Power_0.55,Power_0.6,TypeIError_-0.6,TypeIError_-0.55,TypeIError_-0.5,TypeIError_-0.45,TypeIError_-0.4,TypeIError_-0.35,TypeIError_-0.3,TypeIError_-0.25,TypeIError_-0.2,TypeIError_-0.15,TypeIError_-0.1,TypeIError_-0.05,TypeIError_0.0,TypeIError_0.05,TypeIError_0.1,TypeIError_0.15,TypeIError_0.2,TypeIError_0.25,TypeIError_0.3,TypeIError_0.35,TypeIError_0.4,TypeIError_0.45,TypeIError_0.5,TypeIError_0.55,TypeIError_0.6
minimize,0.29260543482962903,0.11126456190073533,456.20346569580096,0.7241877756736831,0.7241877756736831,0.7241877756736831,0.7241877756736831,0.7241877756736831,0.7241877756736831,0.7241877756736831,0.7241877756736831,0.7241877756736831,0.7241877756736831,0.7241877756736831,0.7241877756736831,0.7241877756736831,0.7241877756736831,0.7241877756736831,0.7241877756736831,0.7241877756736831,0.7241877756736831,0.7241877756736831,0.7241877756736831,0.7241877756736831,0.7241877756736831,0.7241877756736831,0.7241877756736831,0.7241877756736831,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
shgo,0.5,0.1,-30.000000805855187,0.8000000080585519,0.8000000080585519,0.8000000080585519,0.8000000080585519,0.8000000080585519,0.8000000080585519,0.8000000080585519,0.8000000080585519,0.8000000080585519,0.8000000080585519,0.8000000080585519,0.8000000080585519,0.8000000080585519,0.8000000080585519,0.8000000080585519,0.8000000080585519,0.8000000080585519,0.8000000080585519,0.8000000080585519,0.8000000080585519,0.8000000080585519,0.8000000080585519,0.8000000080585519,0.8000000080585519,0.8000000080585519,0.04999999999999988,0.04999999999999988,0.04999999999999988,0.04999999999999988,0.04999999999999988,0.04999999999999988,0.04999999999999988,0.04999999999999988,0.04999999999999988,0.04999999999999988,0.04999999999999988,0.04999999999999988,0.04999999999999988,0.04999999999999988,0.04999999999999988,0.04999999999999988,0.04999999999999988,0.04999999999999988,0.04999999999999988,0.04999999999999988,0.04999999999999988,0.04999999999999988,0.04999999999999988,0.04999999999999988,0.04999999999999988
dual_annealing,0.6277927261067958,0.17741931729440766,-40.203918451974154,0.7700001626079764,0.7700001626132104,0.7700001627200265,0.7700001644172967,0.7700001853972975,0.7700003868914989,0.7700018877660387,0.770010535618955,0.7700489266478585,0.7701794231238132,0.770515541511547,0.7711591719940102,0.7720391754603189,0.7728067070887722,0.7730227584356436,0.7725474182358162,0.7716800165468691,0.7708671460482491,0.7703504434874727,0.7701110987822366,0.7700278743052357,0.7700057722919897,0.7700011826133376,0.7700003751983142,0.7700002208500479,0.04925375297934732,0.04925422670344077,0.04925703360103686,0.04926986538899237,0.04931485460494858,0.049434642995115206,0.049672626894771775,0.050012904111723246,0.050331852932467135,0.050459465677203524,0.05033924209726297,0.05011140981768621,0.05000000000000016,0.05011140981768618,0.05033924209726313,0.05045946567720348,0.050331852932467176,0.05001290411172329,0.04967262689477181,0.049434642995115206,0.04931485460494843,0.0492698653889923,0.049257033601037115,0.04925422670344075,0.04925375297934731
