,Randomization Ratio,Equivalence Margin,Cost,Power_-0.6,Power_-0.55,Power_-0.5,Power_-0.45,Power_-0.4,Power_-0.35,Power_-0.3,Power_-0.25,Power_-0.2,Power_-0.15,Power_-0.1,Power_-0.05,Power_0.0,Power_0.05,Power_0.1,Power_0.15,Power_0.2,Power_0.25,Power_0.3,Power_0.35,Power_0.4,Power_0.45,Power_0.5,Power_0.55,Power_0.6,TypeIError_-0.6,TypeIError_-0.55,TypeIError_-0.5,TypeIError_-0.45,TypeIError_-0.4,TypeIError_-0.35,TypeIError_-0.3,TypeIError_-0.25,TypeIError_-0.2,TypeIError_-0.15,TypeIError_-0.1,TypeIError_-0.05,TypeIError_0.0,TypeIError_0.05,TypeIError_0.1,TypeIError_0.15,TypeIError_0.2,TypeIError_0.25,TypeIError_0.3,TypeIError_0.35,TypeIError_0.4,TypeIError_0.45,TypeIError_0.5,TypeIError_0.55,TypeIError_0.6
minimize,0.4448204078013812,0.28843185080864087,-28.298998435668782,0.779268820808148,0.7792689439313789,0.7792702071821875,0.7792803563727501,0.7793441684116463,0.7796577610104651,0.7808594309884722,0.7844335483259962,0.7926096966422083,0.8067162034795314,0.8242092764941542,0.837499222587237,0.8379899843566878,0.8233247388749343,0.8004948552057272,0.7806831384440829,0.7707918815161486,0.7700009476038661,0.773281887680579,0.7765078265107742,0.7783127235656125,0.7790165580198424,0.7792185531157287,0.7792616831877006,0.7792682911354902,0.04393180807930821,0.04399176399690796,0.04425665631817212,0.045164409162053595,0.04755920158397767,0.052354832279093745,0.05942965568630476,0.06653850446404556,0.06999845997822057,0.06747976926139104,0.0603563993718499,0.053041627651986056,0.049999999999993355,0.053041627651986265,0.060356399371850084,0.06747976926139114,0.06999845997822066,0.06653850446404537,0.05942965568630456,0.0523548322790936,0.0475592015839775,0.045164409162053526,0.04425665631817214,0.04399176399690793,0.04393180807930805
shgo,0.5,0.28657830106958426,-33.94687388502019,0.7978553823759942,0.7978554268724187,0.7978559236967517,0.797860265903661,0.797889949769219,0.7980484374043418,0.7987075266166155,0.8008314181427579,0.8060820770511771,0.8158340772636163,0.8287732537906013,0.8391795751889606,0.8394687388502019,0.8267335957145692,0.8067774560386379,0.7900560849703899,0.7831819383300365,0.7850037905484699,0.7901477751066545,0.7944230149975723,0.7966888440840716,0.7975506035112382,0.7977949498259032,0.7978469205066336,0.797854864117661,0.04912723930949436,0.049189768491400825,0.04945802177654858,0.05034826973959833,0.05261271750268004,0.056950024408107244,0.0629677452082496,0.0683823182054546,0.06999997198144078,0.06633211567198954,0.059222370770134355,0.052626897583369706,0.04999999999999987,0.05262689758336985,0.05922237077013467,0.06633211567198963,0.0699999719814408,0.06838231820545446,0.06296774520824962,0.056950024408107106,0.052612717502679894,0.050348269739598266,0.049458021776548476,0.04918976849140091,0.04912723930949434
dual_annealing,0.6200046632194242,0.27394915146958465,-42.830558682946304,0.7729175716987524,0.7729175773927092,0.7729176538634825,0.7729184578330125,0.7729250695431799,0.7729675408569039,0.7731801014197482,0.774005281428025,0.7764706264956589,0.7820569380366083,0.7913757453939751,0.8020144323455716,0.8083055124797449,0.8053490315769882,0.7941122091825529,0.7811603741280649,0.7726978934446856,0.7700000208502465,0.7705726041159098,0.7717749325348445,0.772523857242206,0.7728188244373679,0.7729011290213597,0.7729173434477,0.7729188713982924,0.048713545425259935,0.04877714481984628,0.04903523227773251,0.049842167397123674,0.05176271749847571,0.05516284641502858,0.05941379717330998,0.06260373649783199,0.06272931876040048,0.05955797934256085,0.054967819934580164,0.05132705427788749,0.0499999999999954,0.05132705427788746,0.05496781993458034,0.059557979342561115,0.06272931876040055,0.06260373649783181,0.05941379717331002,0.05516284641502854,0.051762717498475455,0.04984216739712364,0.04903523227773248,0.04877714481984636,0.04871354542525989
