Weight,Calibration,Randomization Ratio,N_t,Equivalence Margin,Split Ratio,Cost,N_t,Power_Reference,Cost,Power_-0.6,Power_-0.55,Power_-0.5,Power_-0.45,Power_-0.4,Power_-0.35,Power_-0.3,Power_-0.25,Power_-0.2,Power_-0.15,Power_-0.1,Power_-0.05,Power_0.0,Power_0.05,Power_0.1,Power_0.15,Power_0.2,Power_0.25,Power_0.3,Power_0.35,Power_0.4,Power_0.45,Power_0.5,Power_0.55,Power_0.6,TypeIError_-0.6,TypeIError_-0.55,TypeIError_-0.5,TypeIError_-0.45,TypeIError_-0.4,TypeIError_-0.35,TypeIError_-0.3,TypeIError_-0.25,TypeIError_-0.2,TypeIError_-0.15,TypeIError_-0.1,TypeIError_-0.05,TypeIError_0.0,TypeIError_0.05,TypeIError_0.1,TypeIError_0.15,TypeIError_0.2,TypeIError_0.25,TypeIError_0.3,TypeIError_0.35,TypeIError_0.4,TypeIError_0.45,TypeIError_0.5,TypeIError_0.55,TypeIError_0.6,Beta_-0.6,Beta_-0.55,Beta_-0.5,Beta_-0.45,Beta_-0.4,Beta_-0.35,Beta_-0.3,Beta_-0.25,Beta_-0.2,Beta_-0.15,Beta_-0.1,Beta_-0.05,Beta_0.0,Beta_0.05,Beta_0.1,Beta_0.15,Beta_0.2,Beta_0.25,Beta_0.3,Beta_0.35,Beta_0.4,Beta_0.45,Beta_0.5,Beta_0.55,Beta_0.6
0.0,3,0.67,134.0,0.2884,0.8205,-4.9569,134.0,0.7501,-4.9569,0.738,0.738,0.738,0.738,0.738,0.738,0.7383,0.7395,0.7431,0.7515,0.7661,0.7846,0.7996,0.8026,0.7914,0.7724,0.7549,0.744,0.7394,0.7381,0.7379,0.7379,0.738,0.738,0.738,0.0458,0.046,0.0465,0.0482,0.0519,0.058,0.0651,0.07,0.0699,0.0648,0.0576,0.052,0.05,0.052,0.0576,0.0648,0.0699,0.07,0.0651,0.058,0.0519,0.0482,0.0465,0.046,0.0458,0.0003,0.0009,0.0028,0.0077,0.0192,0.0425,0.0843,0.15,0.2396,0.3443,0.4454,0.5196,0.5469,0.5196,0.4454,0.3443,0.2396,0.15,0.0843,0.0425,0.0192,0.0077,0.0028,0.0009,0.0003
0.0,3,0.745,149.0,0.2814,0.8913,-5.3226,149.0,0.6852,-5.3226,0.6717,0.6717,0.6717,0.6717,0.6717,0.6717,0.6719,0.6727,0.6755,0.6825,0.6965,0.7171,0.7384,0.7503,0.7459,0.7279,0.7057,0.6881,0.678,0.6736,0.6721,0.6718,0.6717,0.6717,0.6717,0.0458,0.046,0.0467,0.0486,0.0525,0.0587,0.0656,0.07,0.0693,0.064,0.0571,0.0519,0.05,0.0519,0.0571,0.064,0.0693,0.07,0.0656,0.0587,0.0525,0.0486,0.0467,0.046,0.0458,0.0005,0.0013,0.0036,0.0089,0.0197,0.0398,0.0731,0.1222,0.186,0.2577,0.3252,0.3739,0.3917,0.3739,0.3252,0.2577,0.186,0.1222,0.0731,0.0398,0.0197,0.0089,0.0036,0.0013,0.0005
0.0,4,0.865,173.0,0.3799,0.0,-7.4478,173.0,0.482,-7.4478,0.482,0.482,0.482,0.482,0.4822,0.4829,0.4853,0.4917,0.5049,0.5254,0.5476,0.5608,0.5565,0.5366,0.5123,0.494,0.4849,0.482,0.4817,0.4819,0.482,0.482,0.482,0.4821,0.4821,0.0518,0.0546,0.0594,0.0651,0.0695,0.07,0.0661,0.0602,0.0549,0.0518,0.0505,0.0501,0.05,0.0501,0.0505,0.0518,0.0549,0.0602,0.0661,0.07,0.0695,0.0651,0.0594,0.0546,0.0518,0.009,0.0168,0.0296,0.0494,0.0781,0.1167,0.1654,0.2219,0.2822,0.3402,0.3887,0.421,0.4324,0.421,0.3887,0.3402,0.2822,0.2219,0.1654,0.1167,0.0781,0.0494,0.0296,0.0168,0.009
0.0,4,0.855,171.0,0.3703,0.0,-7.2963,171.0,0.5052,-7.2963,0.5052,0.5052,0.5052,0.5052,0.5053,0.5058,0.5077,0.513,0.5244,0.543,0.5648,0.5796,0.5782,0.5606,0.5368,0.518,0.5082,0.5051,0.5047,0.505,0.5051,0.5052,0.5052,0.5052,0.5053,0.0513,0.0536,0.0578,0.0634,0.0682,0.0698,0.0669,0.0612,0.0558,0.0522,0.0506,0.0501,0.05,0.0501,0.0506,0.0522,0.0558,0.0612,0.0669,0.0698,0.0682,0.0634,0.0578,0.0536,0.0513,0.0072,0.014,0.0256,0.044,0.0715,0.1095,0.1585,0.2166,0.2795,0.3407,0.3924,0.4271,0.4394,0.4271,0.3924,0.3407,0.2795,0.2166,0.1585,0.1095,0.0715,0.044,0.0256,0.014,0.0072
0.0,4,0.86,172.0,0.3751,0.0,-7.4025,172.0,0.4938,-7.4025,0.4938,0.4938,0.4938,0.4938,0.4939,0.4945,0.4966,0.5025,0.5148,0.5344,0.5565,0.5706,0.5678,0.549,0.5249,0.5062,0.4967,0.4937,0.4934,0.4936,0.4937,0.4938,0.4938,0.4938,0.4939,0.0516,0.0541,0.0586,0.0643,0.069,0.07,0.0666,0.0608,0.0554,0.052,0.0505,0.0501,0.05,0.0501,0.0505,0.052,0.0554,0.0608,0.0666,0.07,0.069,0.0643,0.0586,0.0541,0.0516,0.0081,0.0154,0.0276,0.0467,0.0748,0.1132,0.1621,0.2195,0.2812,0.3409,0.391,0.4246,0.4364,0.4246,0.391,0.3409,0.2812,0.2195,0.1621,0.1132,0.0748,0.0467,0.0276,0.0154,0.0081
0.0,4,0.85,170.0,0.3667,0.0,-7.3254,170.0,0.5163,-7.3253,0.5163,0.5163,0.5163,0.5163,0.5164,0.5169,0.5186,0.5234,0.5343,0.5524,0.5741,0.5897,0.5895,0.5728,0.549,0.5297,0.5194,0.5161,0.5157,0.516,0.5162,0.5163,0.5163,0.5163,0.5164,0.0512,0.0533,0.0573,0.0628,0.068,0.07,0.0675,0.062,0.0563,0.0525,0.0507,0.0501,0.05,0.0501,0.0507,0.0525,0.0563,0.062,0.0675,0.07,0.068,0.0628,0.0573,0.0533,0.0512,0.0066,0.013,0.024,0.042,0.0691,0.1072,0.1566,0.2157,0.2802,0.3434,0.397,0.4331,0.4458,0.4331,0.397,0.3434,0.2802,0.2157,0.1566,0.1072,0.0691,0.042,0.024,0.013,0.0066
0.005,1,0.9,180.0,0.1479,0.0,-90.0,180.0,0.3903,-90.0,0.3903,0.3903,0.3903,0.3903,0.3903,0.3903,0.3903,0.3903,0.3903,0.3903,0.3903,0.3903,0.3903,0.3903,0.3903,0.3903,0.3903,0.3903,0.3903,0.3903,0.3903,0.3903,0.3903,0.3903,0.3903,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.005,1,0.9,180.0,0.1661,0.0,-90.0,180.0,0.3903,-90.0,0.3903,0.3903,0.3903,0.3903,0.3903,0.3903,0.3903,0.3903,0.3903,0.3903,0.3903,0.3903,0.3903,0.3903,0.3903,0.3903,0.3903,0.3903,0.3903,0.3903,0.3903,0.3903,0.3903,0.3903,0.3903,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.005,1,0.9,180.0,0.2641,0.0,-90.0,180.0,0.3903,-90.0,0.3903,0.3903,0.3903,0.3903,0.3903,0.3903,0.3903,0.3903,0.3903,0.3903,0.3903,0.3903,0.3903,0.3903,0.3903,0.3903,0.3903,0.3903,0.3903,0.3903,0.3903,0.3903,0.3903,0.3903,0.3903,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.005,1,0.9,180.0,0.215,0.0,-90.0,180.0,0.3903,-90.0,0.3903,0.3903,0.3903,0.3903,0.3903,0.3903,0.3903,0.3903,0.3903,0.3903,0.3903,0.3903,0.3903,0.3903,0.3903,0.3903,0.3903,0.3903,0.3903,0.3903,0.3903,0.3903,0.3903,0.3903,0.3903,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
