Weight,Calibration,N,Randomization Ratio,N_t,Equivalence Margin,Split Ratio,Cost,N_t,Power_Reference,Cost,Power_-0.6,Power_-0.55,Power_-0.5,Power_-0.45,Power_-0.4,Power_-0.35,Power_-0.3,Power_-0.25,Power_-0.2,Power_-0.15,Power_-0.1,Power_-0.05,Power_0.0,Power_0.05,Power_0.1,Power_0.15,Power_0.2,Power_0.25,Power_0.3,Power_0.35,Power_0.4,Power_0.45,Power_0.5,Power_0.55,Power_0.6,TypeIError_-0.6,TypeIError_-0.55,TypeIError_-0.5,TypeIError_-0.45,TypeIError_-0.4,TypeIError_-0.35,TypeIError_-0.3,TypeIError_-0.25,TypeIError_-0.2,TypeIError_-0.15,TypeIError_-0.1,TypeIError_-0.05,TypeIError_0.0,TypeIError_0.05,TypeIError_0.1,TypeIError_0.15,TypeIError_0.2,TypeIError_0.25,TypeIError_0.3,TypeIError_0.35,TypeIError_0.4,TypeIError_0.45,TypeIError_0.5,TypeIError_0.55,TypeIError_0.6,Beta_-0.6,Beta_-0.55,Beta_-0.5,Beta_-0.45,Beta_-0.4,Beta_-0.35,Beta_-0.3,Beta_-0.25,Beta_-0.2,Beta_-0.15,Beta_-0.1,Beta_-0.05,Beta_0.0,Beta_0.05,Beta_0.1,Beta_0.15,Beta_0.2,Beta_0.25,Beta_0.3,Beta_0.35,Beta_0.4,Beta_0.45,Beta_0.5,Beta_0.55,Beta_0.6
0.0,3,205.2714,0.5,100.0,0.2813,0.5275,-4.2314,103.0,0.8101,-4.2314,0.7821,0.7821,0.7821,0.7821,0.7821,0.7823,0.783,0.7854,0.7918,0.8045,0.8233,0.8424,0.8524,0.8468,0.8282,0.8064,0.7904,0.7828,0.7809,0.7812,0.7817,0.782,0.7821,0.7821,0.7821,0.0395,0.0396,0.0398,0.0408,0.0434,0.0488,0.057,0.0654,0.0699,0.0679,0.0607,0.0531,0.05,0.0531,0.0607,0.0679,0.0699,0.0654,0.057,0.0488,0.0434,0.0408,0.0398,0.0396,0.0395,0.0,0.0002,0.001,0.0037,0.0118,0.0322,0.0752,0.1522,0.2674,0.4107,0.5547,0.6626,0.7028,0.6626,0.5547,0.4107,0.2674,0.1522,0.0752,0.0322,0.0118,0.0037,0.001,0.0002,0.0
0.0,3,205.2714,0.7,140.0,0.2903,0.8691,-4.9502,143.0,0.742,-4.9502,0.7345,0.7345,0.7345,0.7345,0.7345,0.7346,0.7348,0.7358,0.7389,0.7463,0.7598,0.7773,0.7915,0.794,0.7827,0.7642,0.7479,0.7385,0.735,0.7343,0.7344,0.7345,0.7345,0.7345,0.7345,0.0474,0.0476,0.0482,0.0499,0.0536,0.0596,0.0661,0.07,0.0688,0.0633,0.0565,0.0517,0.05,0.0517,0.0565,0.0633,0.0688,0.07,0.0661,0.0596,0.0536,0.0499,0.0482,0.0476,0.0474,0.0003,0.001,0.0031,0.0085,0.0204,0.0443,0.0862,0.1508,0.2379,0.3385,0.4351,0.5056,0.5316,0.5056,0.4351,0.3385,0.2379,0.1508,0.0862,0.0443,0.0204,0.0085,0.0031,0.001,0.0003
0.0,4,487.9644,0.165,33.0,0.2139,0.0,-1.7463,81.0,0.9026,-1.7463,0.9026,0.9026,0.9026,0.9026,0.9026,0.9026,0.9026,0.9031,0.906,0.9146,0.9277,0.9332,0.9201,0.8937,0.8728,0.8726,0.8864,0.8977,0.9017,0.9025,0.9026,0.9026,0.9026,0.9026,0.9026,0.05,0.05,0.05,0.05,0.05,0.0501,0.0508,0.0541,0.0617,0.0688,0.0662,0.0557,0.05,0.0557,0.0662,0.0688,0.0617,0.0541,0.0508,0.0501,0.05,0.05,0.05,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0005,0.0052,0.0345,0.1414,0.371,0.6608,0.873,0.9432,0.873,0.6608,0.371,0.1414,0.0345,0.0052,0.0005,0.0,0.0,0.0,0.0,0.0
0.0,4,487.9644,0.9,180.0,0.2696,0.0,-2.964,439.0,0.7485,-2.964,0.7485,0.7485,0.7485,0.7485,0.7485,0.7485,0.7485,0.7485,0.7485,0.7487,0.7504,0.7584,0.7781,0.8005,0.8012,0.7778,0.7565,0.7491,0.7483,0.7484,0.7485,0.7485,0.7485,0.7485,0.7485,0.05,0.05,0.0501,0.0507,0.0536,0.0608,0.0692,0.0698,0.0616,0.0537,0.0506,0.05,0.05,0.05,0.0506,0.0537,0.0616,0.0698,0.0692,0.0608,0.0536,0.0507,0.0501,0.05,0.05,0.0002,0.0008,0.0024,0.0063,0.015,0.0324,0.063,0.1105,0.1749,0.2498,0.3222,0.3753,0.3949,0.3753,0.3222,0.2498,0.1749,0.1105,0.063,0.0324,0.015,0.0063,0.0024,0.0008,0.0002
0.0,4,487.9644,0.9,180.0,0.2559,0.0,-1.916,439.0,0.7485,-1.916,0.7485,0.7485,0.7485,0.7485,0.7485,0.7485,0.7485,0.7485,0.7485,0.7486,0.7496,0.7545,0.7676,0.783,0.7832,0.7671,0.7534,0.7489,0.7484,0.7485,0.7485,0.7485,0.7485,0.7485,0.7485,0.05,0.05,0.05,0.0504,0.052,0.0564,0.0614,0.0614,0.0564,0.0519,0.0503,0.05,0.05,0.05,0.0503,0.0519,0.0564,0.0614,0.0614,0.0564,0.052,0.0504,0.05,0.05,0.05,0.0002,0.0006,0.0017,0.0047,0.0115,0.0252,0.0499,0.0889,0.1426,0.2057,0.2673,0.3128,0.3296,0.3128,0.2673,0.2057,0.1426,0.0889,0.0499,0.0252,0.0115,0.0047,0.0017,0.0006,0.0002
0.0,4,487.9644,0.9,180.0,0.2698,0.0,-2.9821,439.0,0.7485,-2.9821,0.7485,0.7485,0.7485,0.7485,0.7485,0.7485,0.7485,0.7485,0.7485,0.7487,0.7505,0.7585,0.7783,0.8008,0.8015,0.778,0.7566,0.7491,0.7483,0.7484,0.7485,0.7485,0.7485,0.7485,0.7485,0.05,0.05,0.0501,0.0507,0.0536,0.0609,0.0694,0.07,0.0617,0.0537,0.0506,0.05,0.05,0.05,0.0506,0.0537,0.0617,0.07,0.0694,0.0609,0.0536,0.0507,0.0501,0.05,0.05,0.0002,0.0008,0.0024,0.0063,0.0151,0.0325,0.0632,0.1108,0.1754,0.2505,0.3231,0.3763,0.3959,0.3763,0.3231,0.2505,0.1754,0.1108,0.0632,0.0325,0.0151,0.0063,0.0024,0.0008,0.0002
0.005,4,528.7593,0.9,180.0,0.2563,0.0,-239.9015,476.0,0.7795,-239.9015,0.7795,0.7795,0.7795,0.7795,0.7795,0.7795,0.7795,0.7795,0.7795,0.7796,0.7803,0.7846,0.7985,0.8193,0.8252,0.8071,0.7874,0.7802,0.7794,0.7795,0.7795,0.7795,0.7795,0.7795,0.7795,0.05,0.05,0.05,0.0503,0.052,0.0575,0.0657,0.0682,0.0614,0.0537,0.0506,0.05,0.05,0.05,0.0506,0.0537,0.0614,0.0682,0.0657,0.0575,0.052,0.0503,0.05,0.05,0.05,0.0001,0.0004,0.0015,0.0042,0.0109,0.025,0.0515,0.0949,0.1563,0.2302,0.3035,0.3583,0.3786,0.3583,0.3035,0.2302,0.1563,0.0949,0.0515,0.025,0.0109,0.0042,0.0015,0.0004,0.0001
0.005,4,528.7593,0.9,180.0,0.2586,0.0,-240.0413,476.0,0.7795,-240.0413,0.7795,0.7795,0.7795,0.7795,0.7795,0.7795,0.7795,0.7795,0.7795,0.7796,0.7804,0.785,0.7999,0.8219,0.8282,0.8091,0.788,0.7802,0.7794,0.7795,0.7795,0.7795,0.7795,0.7795,0.7795,0.05,0.05,0.05,0.0503,0.0522,0.0582,0.0671,0.0699,0.0626,0.0542,0.0507,0.05,0.05,0.05,0.0507,0.0542,0.0626,0.0699,0.0671,0.0582,0.0522,0.0503,0.05,0.05,0.05,0.0001,0.0005,0.0015,0.0044,0.0114,0.0261,0.0536,0.0984,0.1616,0.2375,0.3128,0.3688,0.3897,0.3688,0.3128,0.2375,0.1616,0.0984,0.0536,0.0261,0.0114,0.0044,0.0015,0.0005,0.0001
0.005,4,528.7593,0.9,180.0,0.2501,0.0,-239.5434,476.0,0.7795,-239.5434,0.7795,0.7795,0.7795,0.7795,0.7795,0.7795,0.7795,0.7795,0.7795,0.7796,0.7801,0.7835,0.7949,0.8124,0.8173,0.8019,0.7858,0.7801,0.7794,0.7795,0.7795,0.7795,0.7795,0.7795,0.7795,0.05,0.05,0.05,0.0502,0.0515,0.0558,0.0623,0.0641,0.0587,0.0527,0.0504,0.05,0.05,0.05,0.0504,0.0527,0.0587,0.0641,0.0623,0.0558,0.0515,0.0502,0.05,0.05,0.05,0.0001,0.0004,0.0013,0.0037,0.0095,0.0222,0.0462,0.0856,0.1419,0.2102,0.2781,0.329,0.348,0.329,0.2781,0.2102,0.1419,0.0856,0.0462,0.0222,0.0095,0.0037,0.0013,0.0004,0.0001
0.005,4,528.7593,0.9,180.0,0.2587,0.0,-240.0503,476.0,0.7795,-240.0502,0.7795,0.7795,0.7795,0.7795,0.7795,0.7795,0.7795,0.7795,0.7795,0.7796,0.7804,0.7851,0.8,0.8221,0.8284,0.8092,0.788,0.7802,0.7794,0.7795,0.7795,0.7795,0.7795,0.7795,0.7795,0.05,0.05,0.05,0.0503,0.0522,0.0582,0.0672,0.07,0.0626,0.0542,0.0507,0.05,0.05,0.05,0.0507,0.0542,0.0626,0.07,0.0672,0.0582,0.0522,0.0503,0.05,0.05,0.05,0.0001,0.0005,0.0015,0.0044,0.0114,0.0262,0.0537,0.0986,0.1619,0.238,0.3133,0.3695,0.3904,0.3695,0.3133,0.238,0.1619,0.0986,0.0537,0.0262,0.0114,0.0044,0.0015,0.0005,0.0001
